/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/1038/: vold = 44.91405974987231, vnew = 144.18656225734586, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10380/: vold = 47.09667571952674, vnew = 196.68446366293284, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10381/: vold = 35.88209771084461, vnew = 162.21434909723698, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10382/: vold = 248.25326848217935, vnew = 42.438906904895504, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10383/: vold = 124.3159659127994, vnew = 74.72384789638184, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10384/: vold = 23.508674549706114, vnew = 143.0914116904725, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10385/: vold = 42.78444653853605, vnew = 195.0413223369788, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10386/: vold = 159.51568085956518, vnew = 43.213950659184434, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10387/: vold = 255.8047821872972, vnew = 69.59365222715803, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10388/: vold = 44.3138162336687, vnew = 162.73057521957716, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10389/: vold = 247.25922317779447, vnew = 46.87650306036101, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/1039/: vold = 134.07900847990018, vnew = 70.10588204729373, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10390/: vold = 69.25324529193502, vnew = 167.12689710545737, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10391/: vold = 45.787082006953995, vnew = 116.16352879459899, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10392/: vold = 137.58594313005747, vnew = 73.61423633514158, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10393/: vold = 72.51348342640395, vnew = 156.2743085185653, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10394/: vold = 189.50872163807324, vnew = 74.04722234651472, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10395/: vold = 137.50235128296396, vnew = 38.531956219926904, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10396/: vold = 142.87478034401101, vnew = 80.64393447530908, difference = 0, maxdiff = 0.0
